Description
True Tubes Diamond Tip Liner Tube
True Tubes Round Tip Liner Tube
True Tubes Shader Tube
ErgoSquish Diamond Tip Liner Tube
ErgoSquish Round Tip Liner Tube
ErgoSquish Shader Tube
True Cartridge Tube
ErgoCartridge Tube
King Pin Disposable Tube 3 Round
King Pin Disposable Tube 5 Round
King Pin Disposable Tube 9 Round
King Pin Disposable Tube 14 Round
King Pin Disposable Tube 5 Mag 
King Pin Disposable Tube 7 Mag
King Pin Disposable Tube 9 Mag
King Pin Disposable Tube 11 Mag
King Pin Disposable Tube 13 Mag
King Pin Disposable Tube 15 Mag
